ID,COUNT_TEMP,SEX,AGE,MARITAL_STATUS,CITY,DISTRICT,EDUCATION,ANNU_INCOME,PRIVATE_VEHICLE,COMMUTE,CHILDREN,DATE,MCC_CAT,AMOUNT,CARD_TYPE,PAYBY,MOBILE_PAYMENT,QUANTITY,AD_EXPO,AD_CLICK,AD_TIME
000860,263,男,38,0,新北市,板橋區,大學,"$380,000",0,1,,2015/08/01,其他,"$1,700",,ATM轉帳,,4,1,0,
000700,18,女,32,0,桃園縣,中壢市,其他,"$628,333",0,1,,2015/08/01,美妝保健,"$1,582",簽帳金融卡,信用卡,0,2,1,1,8
001659,253,男,34,1,高雄市,鹽埕區,高中(職),"$539,328",1,1,2,2015/08/01,食品飲料,"$1,169",玉璽卡,信用卡,0,1,0,,
001057,137,女,36,1,高雄市,鹽埕區,其他,"$550,219",0,1,1,2015/08/01,電器用品,"$4,742",簽帳金融卡,信用卡,0,1,0,,
000700,18,女,32,0,桃園縣,中壢市,其他,"$628,333",0,1,,2015/08/01,美妝保健,"$1,038",簽帳金融卡,信用卡,1,1,0,,
002070,480,男,35,0,嘉義市,嘉義市,大學,"$340,000",0,1,,2015/08/01,電器用品,"$3,929",,ATM轉帳,,2,1,0,
001659,253,男,34,1,高雄市,鹽埕區,高中(職),"$539,328",1,1,2,2015/08/01,食品飲料,$951,簽帳金融卡,信用卡,0,2,1,0,
001057,137,女,36,1,高雄市,鹽埕區,其他,"$550,219",0,1,1,2015/08/01,電器用品,"$4,510",,貨到付款,,1,1,0,
001659,253,男,34,1,高雄市,鹽埕區,高中(職),"$539,328",1,1,2,2015/08/01,食品飲料,"$2,076",,貨到付款,,1,0,,
001093,171,女,40,1,台南市,安南區,其他,"$415,497",0,1,1,2015/08/01,生活百貨,$475,,貨到付款,,2,1,0,
001125,196,男,37,1,台北市,文山區,大學,"$1,000,000",0,0,1,2015/08/01,生活百貨,"$1,728",小資卡,信用卡,0,1,0,,
000700,18,女,32,0,桃園縣,中壢市,其他,"$628,333",0,1,,2015/08/01,美妝保健,"$2,301",簽帳金融卡,信用卡,1,2,0,,
001057,137,女,36,1,高雄市,鹽埕區,其他,"$550,219",0,1,1,2015/08/01,電器用品,"$3,098",玉璽卡,信用卡,1,1,0,,
001057,137,女,36,1,高雄市,鹽埕區,其他,"$550,219",0,1,1,2015/08/01,美妝保健,$836,,貨到付款,,4,0,,
001979,7,女,50,1,新北市,三重區,其他,"$732,857",0,0,0,2015/08/01,生活百貨,"$2,540",商務卡,信用卡,0,3,0,,
000700,18,女,32,0,桃園縣,中壢市,其他,"$628,333",0,1,,2015/08/01,美妝保健,"$5,157",,貨到付款,,1,1,0,
001093,171,女,40,1,台南市,安南區,其他,"$415,497",0,1,1,2015/08/01,美妝保健,$869,簽帳金融卡,信用卡,0,4,0,,
001422,59,女,44,1,無資料,無資料,其他,"$270,000",0,1,0,2015/08/01,服飾用品,$563,玉璽卡,信用卡,0,1,0,,
000860,263,男,38,0,新北市,板橋區,大學,"$380,000",0,1,,2015/08/01,其他,"$1,180",玉璽卡,信用卡,1,1,0,,
000299,36,女,42,0,彰化縣,田中鎮,其他,"$360,000",0,0,,2015/08/01,美妝保健,$438,小資卡,信用卡,0,1,1,1,24
001057,137,女,36,1,高雄市,鹽埕區,其他,"$550,219",0,1,1,2015/08/01,電器用品,"$5,723",簽帳金融卡,信用卡,0,1,1,0,
002309,12,女,39,1,台中市,北區,大學,"$1,080,000",0,1,1,2015/08/01,美妝保健,$712,簽帳金融卡,信用卡,0,1,0,,
002287,4,男,50,0,台南市,南區,其他,"$150,000",1,1,,2015/08/01,電器用品,"$3,361",,貨到付款,,1,0,,
001644,18,男,42,1,新北市,三重區,大學,"$550,000",1,1,0,2015/08/01,電器用品,"$5,170",簽帳金融卡,信用卡,1,1,0,,
000315,29,女,41,1,台北市,松山區,大學,"$350,000",0,1,0,2015/08/01,美妝保健,"$1,134",,貨到付款,,2,1,0,
000860,263,男,38,0,新北市,板橋區,大學,"$380,000",0,1,,2015/08/01,其他,"$1,940",,ATM轉帳,,1,0,,
000237,194,女,52,1,台中市,西屯區,其他,"$558,454",0,0,1,2015/08/01,教育娛樂,"$2,136",,貨到付款,,3,0,,
000860,263,男,38,0,新北市,板橋區,大學,"$380,000",0,1,,2015/08/01,其他,"$1,146",,ATM轉帳,,1,0,,
001659,253,男,34,1,高雄市,鹽埕區,高中(職),"$539,328",1,1,2,2015/08/01,食品飲料,"$1,308",簽帳金融卡,信用卡,0,1,1,1,11
001979,7,女,50,1,新北市,三重區,其他,"$732,857",0,0,0,2015/08/01,電器用品,"$4,190",商務卡,信用卡,0,1,1,0,
001979,7,女,50,1,新北市,三重區,其他,"$732,857",0,0,0,2015/08/01,美妝保健,"$4,619",,貨到付款,,1,1,0,
000237,194,女,52,1,台中市,西屯區,其他,"$558,454",0,0,1,2015/08/01,生活百貨,$912,,貨到付款,,1,0,,
000860,263,男,38,0,新北市,板橋區,大學,"$380,000",0,1,,2015/08/01,其他,"$1,880",,ATM轉帳,,1,1,0,
001963,151,女,34,0,新北市,板橋區,大學,"$400,000",0,0,,2015/08/02,生活百貨,"$1,415",簽帳金融卡,信用卡,0,1,0,,
